objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
crrock0001,locandina ARCI_Flamenco_2001-2002.pdf,,,"Corso di chitarra flamenca, ARCI, 2001/2002",Circolo ARCI Luogocomune,2001-10,"Volantino del corso di chitarra Flamenca della Scuola Popolare di Musica, docente Juan Lorenzo",Scuola Popolare di Musica;chitarra flamenca; Juan Lorenzo; Luogocomune,Circolo ARCI Luogocomune,45.1347378,10.03033615,Aldo Pini,ARCI_flamenco_01,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0002,Diskanto_Radioulna_CB.pdf,,,"Diskanto, Radioulna, 1987",Diskanto,1987-05,"Demotape dei Diskanto, musicassetta",Diskanto; Loris Durando; Max Mondello; Marco Turati; Auro Sissa,"Via Grado 11, Cremona",45.1400986,10.01194248,MarcoTurati,Diskanto_radioulna_1987,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0003,Cremona Rock_1988_gruppi_CB.pdf,,,"Cremona Rock 1988, presentazione gruppi",Janggos,1988-06-07,Presentazione dei gruppi locali che parteciparono alla rassegna CremonaRock nel 1988,CremonaRock 1988; Janggos; Il Cascinetto; On Line; Not Fade Away; Lix Bolero; Leyda,Il Cascinetto,45.13698532,10.04966163,MarcoTurati,CremonaRock 1988_gruppi,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0004,Cascinetto_-_Convenzione_Comune_Cremona.pdf,,,"Convenzione tra il comune di Cremona e l'Associazione culturale ""Gruppo Janggos""",,1992-12-11,Atto comunale,Comune di Cremona; Il Cascinetto; Janggos; Fabio Enzo Caso,Palazzo municipale di Cremona,45.13075,10.02374,Marco Turati,Cascinetto_-_Convenzione_Comune_Cremona,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0005,,,,Allan Holdsworth Quartet - Cremona Jazz 1992,Comune di Cremona ,1992-04-25,"Programma di sala del concerto degli Allan Holdsworth quartet a Palazzo Cittanova. Nella stessa location, la domenica 26 Aprile si tiene il Seminario di Musica d'Insieme ""Allan Holdsworth quartet"" ","Allan Holdsworth Quartet; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Allan Holdsworth; Skuli Sverrisson; Steve Hunt; Chad Wackerman; Roberto Cecchetto;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0006,,,,Defunkt - Cremona Jazz 1992,Comune di Cremona ,1992-04-29,Programma di sala del concerto dei Defunkt a Palazzo Cittanova,"Defunkt; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Joseph Bowie; Byron Bowie; John Mulkerin; Kevin Bents; Bill Bickford; Kim Clarke; Kenny Martin;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0007,,,,Defunkt - Cremona Jazz 1992,Comune di Cremona ,1992-04-29,Locandina A3 cartaceo del concerto dei Defunkt del Cremona Jazz 1992,"Defunkt; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Joseph Bowie; Byron Bowie; John Mulkerin; Kevin Bents; Bill Bickford; Kim Clarke; Kenny Martin;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0008,,,,Allan Holdsworth Quartet - Cremona Jazz 1992,Comune di Cremona ,1992-04-25,Locandina A3 cartaceo del concerto dei Allan Holdsworth Quartet del Cremona Jazz 1992,"Allan Holdsworth Quartet; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Allan Holdsworth; Skuli Sverrisson; Steve Hunt; Chad Wackerman; Roberto Cecchetto;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0009,,,,Eugenio Colombo Solo - Arcado String Trio - Cremona Jazz 1992,Comune di Cremona ,1992-04-05,Locandina A3 cartaceo del concerto di Eugenio Colombo Solo e degli Arcado String Trio del Cremona Jazz 1992,"Eugenio Colombo; Arcado String Trio; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Hank Roberts; Mark Dresser; Mark Feldman; ",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0010,,,,Elvin Jones Jazz Machine - Cremona Jazz 1992,Comune di Cremona ,1992-03-31,Locandina A3 cartaceo del concerto degli Elvin Jones Jazz Machine del Cremona Jazz 1992,"Elvin Jones Jazz Machine; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Elvin Jones; Wilie Pickins; Sonny Fortune; Ravi Coltrane; Nicholas A. Payton; Chip Jackson;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0011,,,,Duo Bley-Peacock  - Cremona Jazz 1992,Comune di Cremona ,1992-03-25,Locandina A3 cartaceo del concerto del Duo Bley-Peacock del Cremona Jazz 1992,"Duo Bley-Peacock; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Paul Bley; Gary Peacock;",Palazzo Cittanova,45.1380394,10.01709018,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
crrock0012,,,,G.O. N. Grande Orchestra Nazionale dell'A.M.J. - Cremona Jazz 1992 ,Comune di Cremona ,1992-03-14,Locandina A3 cartaceo del concerto della G.O. N. Grande Orchestra Nazionale dell'A.M.J. (Associazione Musicisti Jazz) del Cremona Jazz 1992,"G.O. N. Grande Orchestra Nazionale dell'A.M.J.; Cremona jazz 1992; Comune di Cremona; Arcinova; Il Cascinetto; Teatro Comunale ""A. Ponchielli""; Gerardo Iacoucci; Emilio Soana; Pino Minafra; Flavio Boltro; Paolo Fresu; Marco Tamburini; Rudi Migliardi; Roberto Rossi; Marcello Rosa; Danilo Terenzi; Fiorenzo Calandris; Martin Mayes; Gianluigi Trovesi; Riccardo Luppi; Roberto Ottaviano; Claudio Fasoli; Daniele Cavallanti; Stefano Battaglia; Sandro Gibellini; Paolino Dalla Porta; Giampiero Prina; Tiziano Tononi;","Teatro Comunale ""A. Ponchielli""",45.1325631,10.01892817,Janggos,,Image,document/pdf,it,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
