objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
CrRock01,locandina ARCI_Flamenco_2001-2002.pdf,,,"Corso di chitarra flamenca, ARCI, 2001/2002",Circolo ARCI LuogoComune,2001-01-10,"Volantino del corso di chitarra Flamenca della Scuola Popolare di Musica, docente Juan Lorenzo",Scuola Popolare di Musica;chitarra flamenca; Juan Lorenzo; Luogocomune,Circolo ARCI Luogocomune,45.1347378,10.03033615,Aldo Pini,ARCI_flamenco_01,Image,document/pdf,ita,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,,,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
